#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+--------------------+--------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)     | recorded(/ub)      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve300_HFJEC_v15                                                     | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve320_v13                                                           | 1287825.140928547  | 1214534.555200377  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve400_v13                                                           | 3863475.422785638  | 3643603.665601131  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve40_v13                                                            | 210.617389440      | 198.854817615      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve500_v13                                                           | 15453901.691142552 | 14574414.662404524 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve60_HFJEC_v14                                                      | 4521.423183334     | 4255.971438691     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve60_v13                                                            | 970.418996903      | 914.785310109      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve80_HFJEC_v14                                                      | 3313.139329105     | 3118.625659516     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiPFJetAve80_v12                                                            | 3313.139329105     | 3118.625659516     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiSC30_18_EIso_AND_HE_Mass70_v13                                            | 220013.158573392   | 207096.235202261   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi3p5_Muon2_v5                                                    | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v6                                               | 187744.561982628   | 176722.120705929   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_L1_NoOS_v6                                                     | 8186.536132963     | 7705.906426131     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v6                                   | 187744.561982628   | 176722.120705929   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v6                                            | 8186.536132963     | 7705.906426131     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_NoVertexing_v7                                                 | 8186.536132963     | 7705.906426131     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Jpsi_v7                                                             | 8186.536132963     | 7705.906426131     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_LowMass_L1_0er1p5_v7                                                | 130984.578127415   | 123294.502818090   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_LowMass_L1_4_v7                                                     | 65492.289063707    | 61647.251409045    |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_LowMass_L1_TM530_v5                                                 | 78226.900826095    | 73634.216960804    |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_LowMass_v7                                                          | 4093.268066482     | 3852.953213065     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Upsilon_L1_4p5_v8                                                   | 44002.631714678    | 41419.247040452    |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v6                                             | 312907.603304380   | 294536.867843215   |
