#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_Ele20_eta2p1_WPLoose_Gsf_v2           | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_Ele20_eta2p1_WPLoose_Gsf_v2           | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_Ele20_eta2p1_WPLoose_Gsf_v2           | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_Ele20_eta2p1_WPLoose_Gsf_v2           | 409067.405588511 | 376900.479108237 |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity100_part0_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity100_part1_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity100_part2_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity100_part3_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity100_part4_v3    | 81813.481117702  | 75380.095821647  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_FullTrack_Multiplicity100_v2          | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_FullTrack_Multiplicity100_v2          | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_FullTrack_Multiplicity100_v2          | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_FullTrack_Multiplicity100_v2          | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity130_part0_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity130_part1_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity130_part2_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity130_part3_v3    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity130_part4_v3    | 81813.481117702  | 75380.095821647  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_FullTrack_Multiplicity130_v2          | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_FullTrack_Multiplicity130_v2          | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_FullTrack_Multiplicity130_v2          | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_FullTrack_Multiplicity130_v2          | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity155_part0_v4    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity155_part1_v4    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity155_part2_v4    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity155_part3_v4    | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity155_part4_v4    | 81813.481117702  | 75380.095821647  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_FullTrack_Multiplicity155_v3          | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_FullTrack_Multiplicity155_v3          | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_FullTrack_Multiplicity155_v3          | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_FullTrack_Multiplicity155_v3          | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity85_part0_v4     | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity85_part1_v4     | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity85_part2_v4     | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity85_part3_v4     | 81813.481117702  | 75380.095821647  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_FullTrack_Multiplicity85_part4_v4     | 81813.481117702  | 75380.095821647  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_FullTrack_Multiplicity85_v3           | 55245.783918416  | 54688.267787764  |
